,batch_size,conv,dense,drop,epochs,learning_rate,run_id,runtime_hours,training_loss,validation_loss
60,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.3,4,0.005,4060,0.0263115602778,0.69147638934,0.690877718585
61,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.3,4,0.005,4061,0.0161261502778,0.69216756991,0.691340340887
62,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.3,4,0.005,4062,0.0849707997222,0.691721475124,0.691812247889
63,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.3,4,0.005,4063,0.0576672988889,0.689661210775,0.688831675053
64,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.3,4,0.005,4064,0.01686546,0.692450290067,0.69254598277
65,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.3,4,0.01,4065,0.0258646,0.69142038737,0.68976180894
66,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.3,4,0.01,4066,0.0157274625,0.692188942432,0.689676397187
67,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.3,4,0.01,4067,0.0835167680556,0.69192171778,0.692406310354
68,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.3,4,0.01,4068,0.0582800594444,0.681482280152,0.677491288526
69,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.3,4,0.01,4069,0.0166171005556,0.69220163141,0.691276468549
70,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.3,4,0.02,4070,0.025307615,0.690235879592,0.686896603448
71,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.3,4,0.02,4071,0.0157032611111,0.69145910825,0.691616078785
72,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.3,4,0.02,4072,0.0849622972222,0.690179135118,0.686106870856
73,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.3,4,0.02,4073,0.0584594558333,0.672115904093,0.663286774499
74,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.3,4,0.02,4074,0.0166957897222,0.692707829816,0.692108574935
75,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.3,4,0.05,4075,0.0258891022222,0.690849388497,0.691558977536
76,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.3,4,0.05,4076,0.0163784083333,0.693586389508,0.690534550803
77,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.3,4,0.05,4077,0.0845117130556,0.692790260485,0.690401329313
78,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.3,4,0.05,4078,0.0594808552778,0.684672236443,0.680149384907
79,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.3,4,0.05,4079,0.0173674502778,0.694347764765,0.693234910284
80,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.4,4,0.005,4080,0.0262680347222,0.692167206321,0.691383024624
81,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.4,4,0.005,4081,0.0159425975,0.692157278742,0.691905375889
82,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.4,4,0.005,4082,0.0875292052778,0.692670432159,0.692196014949
83,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.4,4,0.005,4083,0.0580392197222,0.690910148621,0.68996252673
84,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.4,4,0.005,4084,0.01700082,0.692333654846,0.69221769401
85,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.4,4,0.01,4085,0.0257896638889,0.692240365062,0.691007304192
86,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.4,4,0.01,4086,0.0161266286111,0.693250344481,0.691781534467
87,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.4,4,0.01,4087,0.0829367441667,0.689370250702,0.687442696095
88,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.4,4,0.01,4088,0.0585610997222,0.688847179924,0.687061430727
89,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.4,4,0.01,4089,0.0168598397222,0.692992403678,0.693062176023
90,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.4,4,0.02,4090,0.0262335822222,0.69331785781,0.690758320263
91,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.4,4,0.02,4091,0.0157796091667,0.691900685855,0.692368716853
92,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.4,4,0.02,4092,0.0813099391667,0.693425495284,0.692972627708
93,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.4,4,0.02,4093,0.0583648308333,0.689204651969,0.68517737048
94,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.4,4,0.02,4094,0.0169870275,0.693162243707,0.691597989627
95,16,"[50, 50, 50, 50, 50, 1]","[500, 100, 50]",0.4,4,0.05,4095,0.0256359311111,0.694359373195,0.69839836359
96,16,"[25, 25, 25, 25, 25, 1]","[500, 100, 50]",0.4,4,0.05,4096,0.0165852277778,0.694433110952,0.69313157286
97,16,"[64, 32, 16, 32, 64, 1]","[500, 100, 50]",0.4,4,0.05,4097,0.0819111686111,0.693947413989,0.693402418068
98,16,"[100, 100, 100, 100, 100, 1]","[500, 100, 50]",0.4,4,0.05,4098,0.0587538083333,0.69368637119,0.691670778819
99,16,"[32, 20, 16, 32, 10, 1]","[500, 100, 50]",0.4,4,0.05,4099,0.0172016105556,0.694978604998,0.692796550478
100,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.0,4,0.005,4100,0.0279590441667,0.690774767739,0.691046210698
101,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.0,4,0.005,4101,0.0177918619444,0.69065559251,0.690005218983
102,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.0,4,0.005,4102,0.0854214619444,0.688914591925,0.688178784507
103,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.0,4,0.005,4103,0.0593708913889,0.688803000961,0.688069217546
104,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.0,4,0.005,4104,0.0188358566667,0.691057249478,0.691631633895
105,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.0,4,0.01,4105,0.0276145133333,0.689656743833,0.688564685413
106,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.0,4,0.01,4106,0.0176179655556,0.689936556135,0.689598839624
107,16,"[64, 32, 16, 32, 64, 1]","[1000, 500, 100, 50]",0.0,4,0.01,4107,0.0851648972222,0.686461699009,0.685858958108
108,16,"[100, 100, 100, 100, 100, 1]","[1000, 500, 100, 50]",0.0,4,0.01,4108,0.0616210872222,0.68711058838,0.684177861895
109,16,"[32, 20, 16, 32, 10, 1]","[1000, 500, 100, 50]",0.0,4,0.01,4109,0.0195910630556,0.690522795916,0.691297609465
110,16,"[50, 50, 50, 50, 50, 1]","[1000, 500, 100, 50]",0.0,4,0.02,4110,0.0279139288889,0.683904855592,0.679953885078
111,16,"[25, 25, 25, 25, 25, 1]","[1000, 500, 100, 50]",0.0,4,0.02,4111,0.0178818086111,0.686483389991,0.686361329896
